route_id,agency_id,route_short_name,route_long_name,route_type
1,SORETRAK,1,LAMINIA ESSAIED MANSOURA,3
3,SORETRAK,3,BAB JDID-AFH-GAREROUTIERE,3
4,SORETRAK,4,ETTABEN AGIP ERRAHBA,3
5,SORETRAK,5,BAB JDID - CITE EL MANAR,3
6,SORETRAK,6,CITE ENNOUR - MANSOURAH,3
21,SORETRAK,21,CNR-EJJAMAA-CNR,3
22,SORETRAK,22,CNR-ESSAIED-CNR,3
23,SORETRAK,23,CNR-TRAVAUX-NAHASSINE-OULED FARH-ZONE INDUSTRIELLE,3
31,SORETRAK,31,CITE MED ALI -MANSOURAH,3
61,SORETRAK,61,ENNASR - ESSAYED -AMINIA,3
62,SORETRAK,62,AMINIA-TRAVAUX-ENNASR,3
68,SORETRAK,68,ENNASR-ESSAIED-AGHALBA,3
70,SORETRAK,70,CNR-HOP-AGHLAB-JEMAA-CNR,3
86,SORETRAK,86,MED ALI - CITE ENNOUR,3
170,SORETRAK,170,KAI. S..SAAD SILIANA ELKEF JANDOUBA,3
171,SORETRAK,171,KAI. S.SAAD SILIANA BEJA,3
230,SORETRAK,230,EL BATTEN- KAIROUAN,3
246,SORETRAK,246,KAIROUAN-NASRALLAH,3
247,SORETRAK,247,KAI  SIDI SAAD,3
250,SORETRAK,250,CHEBIKA,3
252,SORETRAK,252,KAIROUAN-EL GRINE,3
254,SORETRAK,254,Haffouz,3
255,SORETRAK,255,Haffouz - Kairouan,3
264,SORETRAK,264,EL ALAA,3
275,SORETRAK,275,EL HADJEB,3
280,SORETRAK,280,OUESLATIA,3
281,SORETRAK,281,KAIROUAN JLOULA,3
300,SORETRAK,300,KAIROUAN EL FAHS TUNIS,3
302,SORETRAK,302,KAIROUAN-SILIANA,3
311,SORETRAK,311,KAIROUAN-MSAKEN-SOUSSE,3
312,SORETRAK,312,KAIROUAN-RIADH-SOUSSE,3
316,SORETRAK,316,KAIROUAN-MONASTIR,3
317,SORETRAK,317,SBIKHA-KONDAR-SOUSSE,3
320,SORETRAK,320,KAIROUAN-NABEUL,3
323,SORETRAK,323,KAIROUAN EL JAM MAHDIA,3
324,SORETRAK,324,OUESLATIAKAIROUAN-SOUSSE-CHATT MARIEM,3
325,SORETRAK,325,BOUHAJLA KAIROUAN SOUSSE CHATT MARIEM,3
326,SORETRAK,326,ALAA HAFFOUZ CHEBIKA SOUSSE CHAT MARIEM,3
327,SORETRAK,327,NASRALLA KAIROUAN SOUSSE CHATT MARIEM,3
333,SORETRAK,333,BOUHJLA-CHARARDA-SFAX,3
350,SORETRAK,350,KAIROUAN-KASSERINE,3
351,SORETRAK,351,KAIROUAN-HAJEB-BOUZID,3
360,SORETRAK,360,KAIROUAN-SFAX,3
400,SORETRAK,400,KAIR.  BOUHAJLA,3
430,SORETRAK,430,NASRALLAH,3
450,SORETRAK,450,KAIROUAN HAJEB VIA MAJER,3
460,SORETRAK,460,KAIROUAN-BATEN-SBIKHA,3
490,SORETRAK,490,EL HADJEB,3
550,SORETRAK,550,CHERARDA,3
679,SORETRAK,679,KAI. TUNIS VIA ELFAHS,3
694,SORETRAK,694,AGIP MED-ALI MANSOURA,3
698,SORETRAK,698,M.ALI - ZONE INDUSTRIELLE,3
703,SORETRAK,703,SIDI SAAD - SILIANA/KAIROUAN,3
710,SORETRAK,710,SIDI SAAD - SILIANA-KEF,3
