trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled,timepoint
1,09:00:00,09:00:00,420,1,ETTABEN,0,0,0
1,09:10:00,09:10:00,404,2,AGIL,0,2.5,0
1,09:13:00,09:13:00,370,3,CROISEMENT ESSAIED,0,3,0
1,09:17:00,09:17:00,425,4,ERRAHBA,0,4,0
2,09:30:00,09:30:00,425,1,ERRAHBA,0,0,0
2,09:34:00,09:34:00,370,2,CROISEMENT ESSAIED,0,1,0
2,09:37:00,09:37:00,404,3,AGIL,0,1.5,0
2,09:47:00,09:47:00,420,4,ETTABEN,0,4,0
3,10:00:00,10:00:00,420,1,ETTABEN,0,0,0
3,10:10:00,10:10:00,404,2,AGIL,0,2.5,0
3,10:13:00,10:13:00,370,3,CROISEMENT ESSAIED,0,3,0
3,10:17:00,10:17:00,425,4,ERRAHBA,0,4,0
4,10:30:00,10:30:00,425,1,ERRAHBA,0,0,0
4,10:34:00,10:34:00,370,2,CROISEMENT ESSAIED,0,1,0
4,10:37:00,10:37:00,404,3,AGIL,0,1.5,0
4,10:47:00,10:47:00,420,4,ETTABEN,0,4,0
5,08:30:00,08:30:00,412,1,ZONE INDUST,0,0,0
5,08:32:00,08:32:00,374,2,echebilia,0,0.8,0
5,08:33:00,08:33:00,375,3,gouvernerat,0,1.1,0
5,08:37:00,08:37:00,344,4,HOPITAL,0,2.1,0
5,08:38:00,08:38:00,425,5,ERRAHBA,0,2.5,0
5,08:39:00,08:39:00,401,6,AWLED FARHAN,0,3,0
5,08:41:00,08:41:00,433,7,BAB KHOUKHA,0,3.7,0
5,08:45:00,08:45:00,432,8,BAB JEDID,0,4.1,0
6,10:10:00,10:10:00,432,1,BAB JEDID,0,0,0
6,10:14:00,10:14:00,433,2,BAB KHOUKHA,0,.4,0
6,10:16:00,10:16:00,401,3,AWLED FARHAN,0,1.1,0
6,10:17:00,10:17:00,425,4,ERRAHBA,0,1.6,0
6,10:18:00,10:18:00,344,5,HOPITAL,0,2,0
6,10:22:00,10:22:00,375,6,gouvernerat,0,3,0
6,10:23:00,10:23:00,374,7,echebilia,0,3.3,0
6,10:25:00,10:25:00,412,8,ZONE INDUST,0,4.1,0
7,10:30:00,10:30:00,412,1,ZONE INDUST,0,0,0
7,10:32:00,10:32:00,374,2,echebilia,0,.8,0
7,10:33:00,10:33:00,375,3,gouvernerat,0,1.1,0
7,10:37:00,10:37:00,344,4,HOPITAL,0,2.1,0
7,10:38:00,10:38:00,425,5,ERRAHBA,0,2.5,0
7,10:39:00,10:39:00,401,6,AWLED FARHAN,0,3,0
7,10:41:00,10:41:00,433,7,BAB KHOUKHA,0,3.7,0
7,10:45:00,10:45:00,432,8,BAB JEDID,0,4.1,0
8,16:10:00,16:10:00,432,1,BAB JEDID,0,0,0
8,16:14:00,16:14:00,433,2,BAB KHOUKHA,0,.4,0
