route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
4,FULLW,1,ETTABEN - AGIP - ERRAHBA,0,4_shp
4,FULLW,2,ETTABEN - AGIP - ERRAHBA,1,4_shp
4,FULLW,3,ETTABEN - AGIP - ERRAHBA,0,4_shp
4,FULLW,4,ETTABEN - AGIP - ERRAHBA,1,4_shp
5,FULLW,5,BAB JDID - CITE EL MANAR,1,5_shp
5,FULLW,6,BAB JDID - CITE EL MANAR,0,5_shp
5,FULLW,7,BAB JDID - CITE EL MANAR,1,5_shp
5,FULLW,8,BAB JDID - CITE EL MANAR,0,5_shp
5,FULLW,9,BAB JDID - CITE EL MANAR,1,5_shp
5,FULLW,10,BAB JDID - CITE EL MANAR,0,5_shp
5,FULLW,11,BAB JDID - CITE EL MANAR,1,5_shp
14,FULLW,12,FOYES - ECHEBBI-ECO.NORMALE,0,14_shp
21,FULLW,13,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,14,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,15,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,16,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,17,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,18,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,19,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,20,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,21,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,22,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,23,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,24,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,25,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,26,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,27,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,28,CNR-EJJAMAA-CNR,0,21_shp
21,FULLW,29,CNR-EJJAMAA-CNR,0,21_shp
22,FULLW,30,CNR-ESSAIED-CNR,0,22_shp
22,FULLW,31,CNR-ESSAIED-CNR,0,22_shp
22,FULLW,32,CNR-ESSAIED-CNR,0,22_shp
22,FULLW,33,CNR-ESSAIED-CNR,0,22_shp
22,FULLW,34,CNR-ESSAIED-CNR,0,22_shp
22,FULLW,35,CNR-ESSAIED-CNR,0,22_shp
23,FULLW,36,CNR-TRAVAUX-NAHASSINE-OULED FARH-ZONE INDUSTRIELLE,0,23_shp
23,FULLW,37,CNR-TRAVAUX-NAHASSINE-OULED FARH-ZONE INDUSTRIELLE,1,23_shp
31,FULLW,38,CITE MED ALI -MANSOURAH,0,31_shp
31,FULLW,39,CITE MED ALI -MANSOURAH,0,31_shp
31,FULLW,40,CITE MED ALI -MANSOURAH,1,31_shp
39,FULLW,41,MANSOURA -ESSAIED -JEMAA -BAB-JEDID,0,39_shp
51,FULLW,42,MANSOURAH-ALI BEY-ENNOUR,0,51_shp
61,FULLW,43,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,44,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,45,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,46,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,47,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,48,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,49,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,50,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,51,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,52,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,53,ENNASR - ESSAYED -AMINIA,0,61_shp
61,FULLW,54,ENNASR - ESSAYED -AMINIA,0,61_shp
62,FULLW,55,AMINIA-TRAVAUX-ENNASR,0,62_shp
